ciclo;curso;nombre;apellido1;apellido2;nota1;nota2;nota3;nota4;nota5
EDI;1;Pedro;Zamora;Santos;0;8;3;9;5
EDI;1;Isabel;Abascal;Casado;7;1;4;7;7
EDI;1;Paula;Santos;Teruel;6;4;10;5;7
EDI;1;Marta;Iglesias;Casado;5;0;7;1;0
EDI;1;Lourdes;Iglesias;Contador;8;3;5;6;3
EDI;1;Paula;Rivera;Ruiz;2;8;4;6;7
EDI;1;Alicia;Teruel;Ruiz;6;7;5;1;4
EDI;1;Pedro;Santos;Ruiz;9;1;8;6;9
EDI;1;Sara;Contador;Cordero;1;10;4;6;4
EDI;2;Lourdes;Posada;Contador;2;8;1;9;3
EDI;2;Lourdes;Ruiz;Ruiz;7;9;10;9;0
EDI;2;Marta;Contador;Contador;7;5;2;4;5
EDI;2;Hugo;Rivera;Rivera;2;0;2;3;10
EDI;2;Pedro;Teruel;Ruiz;9;8;0;6;1
EDI;2;Pedro;Rivera;Pinar;3;8;2;3;1
EDI;2;Pedro;Rivera;Rivera;2;0;1;5;3
EDI;2;Lourdes;Abascal;Teruel;1;6;9;5;6
EDI;2;Alba;Ruiz;Santos;3;7;5;5;6
EDI;2;David;Rojo;Rivera;2;3;0;10;4
EDI;2;Lourdes;Casado;Pinar;2;1;5;5;1
EDI;2;David;Contador;Casado;8;1;9;1;0
EDI;2;Miguel;Pinar;Posada;1;0;6;3;3
EDI;2;Jose;Pinar;Teruel;8;2;7;5;5
EDI;2;David;Casado;Rivera;0;1;3;3;5
EDI;2;Miriam;Teruel;Teruel;0;3;4;8;0
EDI;2;Alicia;Zamora;Pinar;5;10;9;2;1
EDI;2;Isabel;Ruiz;Abascal;10;4;1;3;6
EDI;2;Hugo;Abascal;Ruiz;6;10;0;0;1
EDI;2;Isaac;Rivera;Zamora;4;0;3;6;2
PRO;1;Juan;Posada;Cordero;0;3;5;5;6
PRO;1;Isabel;Pinar;Teruel;10;9;7;2;6
PRO;1;Miriam;Pinar;Cordero;2;1;6;3;9
PRO;1;David;Abascal;Teruel;3;5;6;10;0
PRO;1;Alba;Cordero;Iglesias;8;5;0;4;2
PRO;1;David;Iglesias;Casado;2;9;2;6;9
PRO;1;Paula;Cordero;Teruel;1;5;5;10;2
PRO;1;Jose;Teruel;Abascal;3;0;7;5;7
PRO;1;Lourdes;Rojo;Iglesias;7;4;6;3;4
PRO;1;Isaac;Cordero;Casado;4;8;9;10;9
PRO;1;Jose;Casado;Cordero;5;3;7;2;0
PRO;1;David;Zamora;Abascal;4;10;8;3;1
PRO;1;David;Abascal;Rojo;2;5;6;6;9
PRO;1;Alicia;Ruiz;Zamora;1;8;2;7;0
PRO;1;Pedro;Rojo;Zamora;6;0;7;5;6
PRO;1;Isaac;Rivera;Rojo;8;2;3;2;7
PRO;1;Alba;Abascal;Posada;4;6;6;6;3
PRO;1;David;Santos;Rivera;4;2;2;8;7
PRO;2;Sara;Rivera;Posada;2;2;4;7;9
PRO;2;Alba;Rojo;Ruiz;2;2;4;5;4
PRO;2;Alba;Contador;Posada;9;2;2;1;8
PRO;2;Pablo;Pinar;Zamora;7;1;0;5;10
PRO;2;Hugo;Iglesias;Casado;2;0;4;4;1
PRO;2;Juan;Cordero;Casado;2;7;7;10;4
PRO;2;David;Abascal;Contador;9;10;0;4;8
PRO;2;Pablo;Ruiz;Rojo;6;8;9;2;0
PRO;2;Hugo;Santos;Contador;0;0;3;4;6
PRO;2;Isaac;Cordero;Rojo;10;3;8;7;5
PRO;2;Hugo;Zamora;Zamora;0;0;3;7;10
PRO;2;Paula;Zamora;Ruiz;7;5;8;9;0
PRO;2;Marta;Ruiz;Casado;1;9;0;10;8
PRO;2;Paula;Rivera;Santos;1;3;2;7;4
PRO;2;Paula;Contador;Zamora;1;6;7;3;9
PRO;2;Isaac;Santos;Ruiz;2;9;3;9;9
PRO;2;Miriam;Zamora;Rivera;9;4;5;4;0
PRO;2;Isaac;Abascal;Iglesias;0;5;4;2;10
PRO;2;Pablo;Zamora;Zamora;10;5;9;8;1
PRO;2;Marta;Pinar;Ruiz;10;7;7;2;2
MED;1;Jose;Posada;Abascal;5;7;7;3;9
MED;1;Paula;Casado;Cordero;2;10;10;5;8
MED;1;David;Iglesias;Teruel;9;10;2;4;1
MED;1;Jose;Cordero;Iglesias;3;2;7;10;2
MED;1;Pedro;Cordero;Santos;8;1;9;10;3
MED;1;Isaac;Pinar;Iglesias;0;9;6;3;7
MED;1;Marta;Cordero;Teruel;5;5;2;9;9
MED;1;Marta;Iglesias;Iglesias;0;8;2;7;9
MED;1;Juan;Posada;Contador;10;7;10;7;6
MED;1;Sara;Casado;Teruel;10;8;0;4;0
MED;1;Jose;Teruel;Casado;4;5;8;10;5
MED;1;Sara;Contador;Zamora;3;10;9;5;3
MED;1;Jose;Santos;Cordero;4;0;3;0;6
MED;1;Alicia;Posada;Contador;8;1;2;4;2
MED;1;Lourdes;Pinar;Santos;1;5;5;9;2
MED;1;Pedro;Cordero;Posada;5;7;6;5;5
MED;1;Alicia;Ruiz;Contador;2;4;2;2;9
MED;1;Lourdes;Abascal;Pinar;4;4;6;3;0
MED;1;David;Contador;Rivera;9;0;2;7;5
MED;2;Miriam;Teruel;Santos;7;3;4;6;8
MED;2;Hugo;Santos;Ruiz;2;9;2;0;7
MED;2;Alba;Teruel;Pinar;0;7;8;10;6
MED;2;David;Abascal;Teruel;8;9;5;0;10
MED;2;Jose;Santos;Rojo;3;6;5;8;5
MED;2;Isaac;Zamora;Cordero;6;10;0;2;7
MED;2;Jose;Abascal;Rojo;0;0;9;9;1
MED;2;Pablo;Contador;Abascal;1;4;1;9;3
MED;2;Pablo;Pinar;Rivera;6;8;0;10;8
MED;2;Paula;Posada;Iglesias;3;3;4;4;9
MED;2;Isaac;Posada;Abascal;0;2;8;0;4
MED;2;Alicia;Posada;Abascal;0;1;6;3;5
MED;2;Pablo;Iglesias;Zamora;5;1;0;9;1
MED;2;Paula;Santos;Cordero;3;5;1;0;2
MED;2;Pedro;Teruel;Rojo;5;9;1;1;1
MED;2;Marta;Rojo;Posada;4;6;7;7;8
MED;2;David;Contador;Teruel;7;9;6;7;0
MED;2;Paula;Abascal;Pinar;3;0;8;7;0
MED;2;Isabel;Ruiz;Contador;8;4;5;4;5
MED;2;Miriam;Posada;Zamora;8;6;5;5;7
